mais
maior
menos
menor
melhor
pior
acima
superior
inferior
abaixo
igual
igualmente
identico;idêntico
identica;idêntica
mesmo nivel;mesmo nível
similar
parece
parecido
diferente
equivalente
semelhante
disputa
compete
ganha
perde
perdeu
numero um
numero 1
número 1
número um
prefiro
preferivel;preferível
invés;inves
bate
supera
superou
venceu
vence
topo
inigualável;inigualavel
vantagem
incomparável;incomparavel
vs
versus
atrás;atras
domina
ultrapassou
ultrapassa
passou
alternativa
dobro
único;unico
trocar
optar
optando
optei
mudar
em vez de
que nem
