lidera
escolho
dominou
melhores
diferença
frente
perto
dúvida;duvida
vezes
nunca vi
competir
competindo
disputando
comparar
comparação;comparacao
comparações;comparacoes
comparando
compara
comparado
comparada
ganhou
perder
perdendo
preferi
prefere
preferia
preferem
preferindo
concorrer
bater
superar
vencendo
dominar
dominando
passar
troquei
trocando
troco
opção
mudando
igualando
parecendo
parecia
parecida
próximo;proximo
tipo
uso
prefiram
como
queria
principal
piores
jamais visto
menores
maiores
chega aos pés;chega aos pes
assemelha
sem precedentes
lembra
rival
preferiu
tem o mesmo
tem a mesma
com o mesmo
com a mesma
iguais
identicos;idênticos
parecidos
parecidas
identicas;idênticas
