mais
maior
menos
menor
melhor
pior
acima
superior
inferior
abaixo
igual
igualmente
identico;idêntico
mesmo nivel;mesmo nível
parece
parecido
diferente
equivalente
semelhante
disputa
ganhar
ganhando
lidera
perde
perdeu
numero um
numero 1
número 1
número um
prefiro
preferivel;preferível
escolho
recomendo
invés;inves
supera
superou
derrotou
venceu
vence
topo
incomparável;incomparavel
vs
versus
domina
dominou
ultrapassou
ultrapassa
passou
dobro
único;unico
trocar
optar
optando
optei
faz esquecer
mudar
em vez de
que nem
melhores
diferença
frente
perto
dúvida;duvida
vezes
opção
nunca vi
competir
competindo
disputando
comparar
comparação;comparacao
comparações;comparacoes
comparando
compara
comparado
comparada
ganhou
perder
perdendo
preferi
prefere
preferia
preferem
preferindo
escolhida
recomendar
concorrer
bater
superar
vencendo
dominar
dominando
passar
passa
troquei
trocando
troco
opção
mudando
igualando
parecendo
parecia
parecida
próximo;proximo
tipo
uso
prefiram
como
queria
quero
principal
piores
jamais visto
menores
maiores
tão % como
tão % quanto
