mais
maior
menos
menor
melhor
pior
acima
superior
inferior
abaixo
igual
igualmente
identico;idêntico
identica;idêntica
mesmo nivel;mesmo nível
similar
parece
parecido
diferente
equivalente
semelhante
disputa
compete
ganha
perde
perdeu
número 1;numero 1
número um;numero um
prefiro
preferível;preferivel
invés;inves
bate
supera
superou
venceu
vence
topo
inigualável;inigualavel
vantagem
incomparável;incomparavel
vs
versus
atrás;atras
domina
ultrapassou
ultrapassa
passou
alternativa
dobro
único;unico
trocar
optar
optando
optei
mudar
em vez de
que nem
tão\s[\w]+\scomo
tão\s[\w]+\squanto
lidera
escolho
dominou
melhores
diferença
frente
perto
dúvida;duvida
vezes
nunca vi
competir
competindo
disputando
comparar
comparação;comparacao
comparações;comparacoes
comparando
compara
comparado
comparada
ganhou
perder
perdendo
preferi
prefere
preferia
preferem
preferindo
concorrer
bater
superar
vencendo
dominar
dominando
passar
troquei
trocando
troco
opção
mudando
igualando
parecendo
parecia
parecida
próximo;proximo
tipo
uso
prefiram
como
queria
principal
piores
jamais visto
menores
maiores
chega aos pés;chega aos pes
assemelha
sem precedentes
lembra
rival
preferiu
tem o mesmo
tem a mesma
com o mesmo
com a mesma
iguais
idênticos;identicos
parecidos
parecidas
idênticas;identicas
superiores
fora de série;fora de serie
diferencia
concorrente
escolher
escolhido
escolha
concorrendo
batendo
superando
ultrapassando
igualar
iguala
igualou
comprando
comprei
principais
