mais
maior
menos
menor
melhor
pior
acima
superior
inferior
abaixo
igual
igualmente
identico;idêntico
identica;idêntica
mesmo nivel;mesmo nível
similar
parece
parecido
diferente
equivalente
semelhante
disputa
compete
ganha
perde
perdeu
número 1;numero 1
número um;numero um
prefiro
preferível;preferivel
invés;inves
bate
supera
superou
venceu
vence
topo
inigualável;inigualavel
vantagem
incomparável;incomparavel
vs
versus
atrás;atras
domina
ultrapassou
ultrapassa
passou
alternativa
dobro
único;unico
trocar
optar
optando
optei
mudar
em vez de
que nem
tão\s[\w]+\scomo
tão\s[\w]+\squanto
ganhando
recomendo
fica para trás;fica para tras
bateu
melhores
superiores
fora de série;fora de serie
diferencia
diferença
frente
concorrente
concorrentes
perto
dúvida;duvida
ouro
vezes
opção
nunca vi
competir
competindo
disputando
comparar
comparação;comparacao
comparações;comparacoes
comparando
compara
comparei
comparado
comparada
ganhou
perdendo
preferi
preferia
preferem
preferimos
preferindo
escolher
escolhido
escolha
recomendaria
concorrer
concorrendo
batendo
superar
superando
dominar
dominando
ultrapassando
passar
passa
troquei
trocando
troco
cogitei
cogitando
igualar
iguala
igualou
igualando
comprando
parecendo
parecia
tipo
uso
prefiram
comprem
como
queria
quero
comprei
relação
principal
principais
piores
jamais visto
menores
maiores
inferiores
chega aos pés;chega aos pes
enfrentou
opte
dominado
assemelha
sem precedentes
escolhi
escolheria
tem tudo o que o
tem tudo que a
lembra
rival
preferiu
comparável;comparavel
líder;lider
tem o mesmo
tem a mesma
possui o mesmo
possui a mesma
com o mesmo
com a mesma
aproxima
aproximando
disputam
iguais
idênticos;identicos
parecidos
parecidas
identicas;idênticas
perder
bater
parecida
prefere
