mais
maior
maiores
menos
menor
menores
melhor
melhores
pior
piores
acima
superior
superiores
inferior
inferiores
abaixo
igual
iguais
igualmente
igualar
iguala
igualou
igualando
identico;idêntico
identica;idêntica
idênticos;identicos
identicas;idênticas
mesmo nivel;mesmo nível
diferente
diferencia
diferença
parece
parecido
parecida
parecidos
parecidas
parecendo
parecia
equivalente
similar
semelhante
assemelha
lembra
tipo
aproxima
aproximando
próximo;proximo
perto
passou
passar
passa
ultrapassou
ultrapassa
ultrapassando
disputa
disputam
disputando
enfrentou
compete
competir
competindo
ganha
ganhou
ganhando
perder
perde
perdeu
perdendo
número 1;numero 1
número um;numero um
prefiro
preferível;preferivel
prefere
preferiu
invés;inves
domina
dominar
dominado
dominando
dominou
bater
bate
bateu
batendo
superar
supera
superou
superando
vence
venceu
vencendo
topo
vantagem
vs
versus
dobro
único;unico
trocar
troquei
trocando
troco
alternativa
opção
optar
optando
optei
opte
mudar
mudando
em vez de
que nem
tão\s[\w]+\scomo
tão\s[\w]+\squanto
recomendo
recomendaria
frente
atrás;atras
dúvida;duvida
ouro
vezes
comparar
comparação;comparacao
comparações;comparacoes
comparando
compara
comparei
comparado
comparada
comparável;comparavel
preferi
preferia
preferem
prefiram
preferimos
preferindo
escolher
escolho
escolhido
escolha
escolhi
escolheria
concorrer
concorrendo
concorrente
concorrentes
rival
cogitei
cogitando
uso
comprei
comprando
comprem
como
quero
queria
relação
principal
principais
líder;lider
lidera
sem precedentes
tem tudo o que o
tem tudo que a
tem o mesmo
tem a mesma
possui o mesmo
possui a mesma
com o mesmo
com a mesma
fica para trás;fica para tras
fora de série;fora de serie
chega aos pés;chega aos pes
incomparável;incomparavel
inigualável;inigualavel
jamais visto
nunca vi
