mais
maior
menos
menor
melhor
pior
acima
superior
inferior
abaixo
igual
igualmente
identico;idêntico
mesmo nivel;mesmo nível
similar
parece
parecido
diferente
equivalente
semelhante
compete
ganha
ganhando
fica para tras;fica para trás
perde
perdeu
numero um
numero 1
número 1
número um
prefiro
preferivel;preferível
recomendo
invés;inves
bate
bateu
supera
superou
venceu
topo
inigualável;inigualavel
vantagem
incomparável;incomparavel
vs
versus
atrás;atras
domina
ultrapassou
ultrapassa
passou
alternativa
dobro
único;unico
trocar
optar
optando
optei
em vez de
que nem
melhores
superiores
fora de serie;fora de série
diferencia
diferença
frente
concorrente
concorrentes
perto
dúvida;duvida
ouro
vezes
opção
nunca vi
competir
competindo
disputando
comparar
comparação;comparacao
comparações;comparacoes
comparando
compara
comparei
comparado
comparada
ganhou
perdendo
preferi
preferia
preferem
preferimos
preferindo
escolher
escolhido
escolha
recomendaria
concorrer
concorrendo
batendo
superar
superando
vencer
dominar
dominando
ultrapassando
passar
passa
troquei
trocando
troco
cogitei
cogitando
igualar
iguala
igualou
igualando
comprar
comprando
parecendo
parecia
tipo
uso
prefiram
comprem
como
queria
quero
comprei
relação
principal
principais
piores
jamais visto
menores
maiores
inferiores
tão\s[\w]+\scomo
tão\s[\w]+\squanto
