mais
maior
menos
menor
melhor
pior
acima
superior
inferior
abaixo
igual
igualmente
identico;idêntico
mesmo nivel;mesmo nível
parece
parecido
diferente
equivalente
semelhante
ganhando
perde
perdeu
numero um
numero 1
número 1
número um
prefiro
preferivel;preferível
recomendo
invés;inves
supera
superou
venceu
topo
incomparável;incomparavel
vs
versus
domina
ultrapassou
ultrapassa
passou
dobro
único;unico
trocar
optar
optando
optei
em vez de
que nem
tão\s[\w]+\scomo
tão\s[\w]+\squanto
